"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"02-01-2023","65","16:00","16:15","","","","-9,69","0","-9,69","-9,69","-1"
"02-01-2023","66","16:15","16:30","","","","118,7","0","118,7","118,7","-1"
"02-01-2023","67","16:30","16:45","","","","-38,59","0","-38,59","-38,59","-1"
"02-01-2023","68","16:45","17:00","","","","102,48","0","102,48","102,48","-1"
"02-01-2023","69","17:00","17:15","","","","97,98","0","97,98","97,98","-1"
"02-01-2023","70","17:15","17:30","","","","71,38","0","71,38","71,38","-1"
"02-01-2023","71","17:30","17:45","","","","79,16","0","79,16","79,16","-1"
"02-01-2023","72","17:45","18:00","","","","86,55","0","86,55","86,55","-1"
"02-01-2023","73","18:00","18:15","","","","136,38","0","136,38","136,38","-1"
"02-01-2023","74","18:15","18:30","","","","154,54","0","154,54","154,54","-1"
"02-01-2023","75","18:30","18:45","","","","","0","152,11","152,11","0"
"02-01-2023","76","18:45","19:00","","","","","0","152,05","152,05","0"
"02-01-2023","77","19:00","19:15","","","","","0","151,99","151,99","0"
"02-01-2023","78","19:15","19:30","","","","","0","151,99","151,99","0"
"02-01-2023","79","19:30","19:45","","","","121,47","0","121,47","121,47","-1"
"02-01-2023","80","19:45","20:00","","","","98,49","0","98,49","98,49","-1"
"02-01-2023","81","20:00","20:15","","","","98,06","0","98,06","98,06","-1"
"02-01-2023","82","20:15","20:30","","","","56,16","0","56,16","56,16","-1"
"02-01-2023","83","20:30","20:45","","","","83,45","0","83,45","83,45","-1"
"02-01-2023","84","20:45","21:00","","","","98,34","0","98,34","98,34","-1"
"02-01-2023","85","21:00","21:15","","","","101,55","0","101,55","101,55","-1"
"02-01-2023","86","21:15","21:30","","","150,09","","0","150,09","150,09","1"
"02-01-2023","87","21:30","21:45","","","136,65","","0","136,65","136,65","1"
"02-01-2023","88","21:45","22:00","","","","109,47","0","109,47","109,47","-1"
"02-01-2023","89","22:00","22:15","","","233,46","109,47","0","233,46","233,46","1"
"02-01-2023","90","22:15","22:30","","","166,46","","0","166,46","166,46","1"
"02-01-2023","91","22:30","22:45","","","166,46","143,46","0","143,46","143,46","-1"
"02-01-2023","92","22:45","23:00","","","","130,38","0","130,38","130,38","-1"
"02-01-2023","93","23:00","23:15","","","147,18","130,38","0","147,18","130,38","2"
"02-01-2023","94","23:15","23:30","","","143,18","109,47","0","109,47","109,47","-1"
"02-01-2023","95","23:30","23:45","","","","89,63","0","89,63","89,63","-1"
"02-01-2023","96","23:45","00:00","","","","116,15","0","116,15","116,15","-1"
"03-01-2023","1","00:00","00:15","","","","-147,36","0","-147,36","-147,36","-1"
"03-01-2023","2","00:15","00:30","","","","136,43","0","136,43","136,43","-1"
"03-01-2023","3","00:30","00:45","","","","143,76","0","143,76","143,76","-1"
"03-01-2023","4","00:45","01:00","","","","80,54","0","80,54","80,54","-1"
"03-01-2023","5","01:00","01:15","","","","-85,35","0","-85,35","-85,35","-1"
"03-01-2023","6","01:15","01:30","","","","20","0","20","20","-1"
"03-01-2023","7","01:30","01:45","","","","136,42","0","136,42","136,42","-1"
"03-01-2023","8","01:45","02:00","","","","131,42","0","131,42","131,42","-1"
"03-01-2023","9","02:00","02:15","","","161,05","213,47","0","184,36","184,36","2"
"03-01-2023","10","02:15","02:30","","","158,78","","0","158,78","158,78","1"
"03-01-2023","11","02:30","02:45","","","161,41","","0","161,41","161,41","1"
"03-01-2023","12","02:45","03:00","","","155,24","213,48","0","213,48","213,48","-1"
"03-01-2023","13","03:00","03:15","","","","216,86","0","216,86","216,86","-1"
"03-01-2023","14","03:15","03:30","","","","","0","186,09","186,09","0"
"03-01-2023","15","03:30","03:45","","","","216,82","0","216,82","216,82","-1"
"03-01-2023","16","03:45","04:00","","","","139,84","0","139,84","139,84","-1"
"03-01-2023","17","04:00","04:15","","","","141,41","0","141,41","141,41","-1"
"03-01-2023","18","04:15","04:30","","","","143,38","0","143,38","143,38","-1"
"03-01-2023","19","04:30","04:45","","","","143,38","0","143,38","143,38","-1"
"03-01-2023","20","04:45","05:00","","","","","0","150,21","150,21","0"
"03-01-2023","21","05:00","05:15","","","","","0","149,16","149,16","0"
"03-01-2023","22","05:15","05:30","","","","","0","149,16","149,16","0"
"03-01-2023","23","05:30","05:45","","","181,41","","0","181,41","181,41","1"
"03-01-2023","24","05:45","06:00","","","268,91","","0","268,91","268,91","1"
"03-01-2023","25","06:00","06:15","","","","","0","146,94","146,94","0"
"03-01-2023","26","06:15","06:30","","","","","0","146,94","146,94","0"
"03-01-2023","27","06:30","06:45","","","255,97","","0","255,97","255,97","1"
"03-01-2023","28","06:45","07:00","","","234,09","","0","234,09","234,09","1"
"03-01-2023","29","07:00","07:15","","","158,78","","0","158,78","158,78","1"
"03-01-2023","30","07:15","07:30","","","","","0","190,4","190,4","0"
"03-01-2023","31","07:30","07:45","","","172,75","","0","172,75","172,75","1"
"03-01-2023","32","07:45","08:00","","","246,35","","0","246,35","246,35","1"
"03-01-2023","33","08:00","08:15","","","276,34","","0","276,34","276,34","1"
"03-01-2023","34","08:15","08:30","","","844","","0","844","844","1"
"03-01-2023","35","08:30","08:45","","","844","","0","844","844","1"
"03-01-2023","36","08:45","09:00","","","250,62","","0","250,62","250,62","1"
"03-01-2023","37","09:00","09:15","","","165,47","113,48","0","190,45","113,48","2"
"03-01-2023","38","09:15","09:30","","","165,47","","0","165,47","165,47","1"
"03-01-2023","39","09:30","09:45","","","","112,63","0","112,63","112,63","-1"
"03-01-2023","40","09:45","10:00","","","","114,47","0","114,47","114,47","-1"
"03-01-2023","41","10:00","10:15","","","167,75","117,75","0","190,48","117,75","2"
"03-01-2023","42","10:15","10:30","","","","129,47","0","129,47","129,47","-1"
"03-01-2023","43","10:30","10:45","","","","228,49","0","228,49","228,49","-1"
"03-01-2023","44","10:45","11:00","","","179,59","","0","179,59","179,59","1"
"03-01-2023","45","11:00","11:15","","","844","","0","844","844","1"
"03-01-2023","46","11:15","11:30","","","167,88","","0","167,88","167,88","1"
"03-01-2023","47","11:30","11:45","","","165,47","","0","165,47","165,47","1"
"03-01-2023","48","11:45","12:00","","","165,47","","0","165,47","165,47","1"
"03-01-2023","49","12:00","12:15","","","162,7","","0","162,7","162,7","1"
